,randNumCol,Total Score,HW
0,801925577,42.0,7
1,262507520,48.0,7
2,853470508,49.0,7
3,468287725,46.0,7
4,966245481,51.0,7
5,688844688,47.0,7
6,602558521,48.0,7
8,513252691,50.0,7
9,798694774,50.0,7
10,880377892,50.0,7
12,406982131,41.0,7
13,631918976,50.0,7
14,555782827,46.0,7
15,556717963,52.0,7
16,213555276,35.0,7
17,357999413,45.0,7
67,215542326,50.0,7
68,683714891,40.0,7
70,450938085,51.0,7
71,791013869,35.5,7
72,431330025,48.0,7
73,538294395,43.0,7
74,144202762,46.0,7
76,519550803,50.0,7
78,482212493,50.0,7
79,647038181,52.0,7
80,846403629,48.0,7
81,586062294,44.0,7
82,884195403,48.0,7
83,996805395,40.0,7
86,425298232,33.0,7
87,868686594,45.0,7
88,891283532,46.0,7
89,757443096,38.0,7
90,915625252,48.0,7
91,887196036,21.0,7
93,367453952,45.5,7
94,581792455,48.0,7
95,102509560,47.0,7
96,604704694,30.0,7
97,860075746,50.0,7
98,351876097,50.0,7
99,196938750,49.0,7
100,208887130,50.0,7
102,718604469,48.0,7
104,817205605,48.0,7
105,611518158,49.0,7
106,177697048,43.0,7
108,616967158,46.0,7
109,315653647,24.0,7
111,196389138,49.5,7
112,677646110,50.0,7
113,739727903,36.0,7
114,239830252,44.0,7
115,236845553,41.0,7
116,819905544,30.0,7
117,718982500,52.0,7
118,393009742,44.0,7
119,695607399,42.0,7
120,426006334,20.0,7
121,815373712,48.0,7
122,757899821,35.0,7
123,321265210,50.0,7
125,362394432,47.0,7
126,883116166,40.0,7
127,293581171,52.0,7
128,381118522,45.0,7
129,317104199,41.0,7
130,466291288,50.0,7
131,844164199,44.0,7
132,578891403,38.0,7
134,287568073,52.0,7
135,709735325,41.0,7
136,287712537,48.0,7
137,496648192,49.0,7
138,139056282,47.0,7
139,411819068,40.0,7
140,968248176,44.0,7
142,105324844,48.0,7
144,484405746,42.0,7
145,943661848,50.0,7
147,359759230,38.0,7
148,442821320,50.0,7
149,963746914,52.0,7
150,410273349,52.0,7
151,928986287,45.0,7
153,717283131,46.0,7
155,788596770,48.0,7
156,941280573,52.0,7
157,250884994,38.0,7
158,719711907,48.0,7
159,118397071,39.0,7
160,888606400,47.0,7
161,193781663,37.0,7
162,236595923,49.0,7
163,464591232,50.0,7
164,937801142,48.0,7
166,207156324,48.0,7
167,138190992,50.0,7
168,188148399,50.0,7
169,258815820,48.0,7
170,177969362,48.0,7
171,200495348,50.0,7
172,228387210,50.0,7
173,177538742,50.0,7
174,251182625,23.0,7
175,897003650,48.0,7
176,851445222,44.0,7
177,980531633,46.0,7
179,636016277,44.0,7
182,488411601,43.0,7
183,722597200,50.0,7
185,147623686,47.0,7
186,549089373,50.0,7
187,706103987,40.5,7
190,564894421,18.0,7
193,881416106,35.0,7
195,781669299,35.0,7
197,119077366,51.0,7
198,834807552,36.0,7
199,307090791,48.0,7
200,540669649,43.0,7
201,994769592,36.0,7
202,936606317,36.0,7
204,265576960,48.0,7
205,706684758,48.0,7
207,529096059,31.0,7
208,831110918,50.0,7
209,499452888,52.0,7
210,305089579,49.0,7
211,800103092,50.0,7
213,226714695,45.0,7
215,538095794,52.0,7
217,391282183,33.0,7
218,761663525,47.0,7
219,253357219,50.0,7
220,158082447,46.0,7
221,654272102,47.0,7
222,242433745,50.0,7
223,748668207,45.0,7
225,714416096,44.0,7
226,803783009,39.0,7
228,454761787,49.0,7
229,979704902,44.0,7
230,526557461,46.0,7
231,599867770,35.0,7
232,918749665,48.0,7
233,959883566,50.0,7
234,597567139,50.0,7
235,103516833,36.0,7
236,992611871,47.0,7
237,583945776,48.0,7
238,468351365,48.0,7
240,829757696,50.0,7
241,828110959,39.0,7
242,818120983,48.0,7
244,992179622,46.0,7
245,580872504,48.0,7
246,340015460,41.0,7
247,315771604,48.0,7
248,287997147,46.0,7
250,934612942,47.0,7
251,237280992,33.0,7
252,587634781,50.0,7
253,734458226,50.0,7
255,807600492,40.0,7
256,915813150,50.0,7
258,944383529,44.0,7
260,995177563,48.0,7
262,328478800,48.0,7
263,606523192,43.0,7
264,909619050,26.0,7
265,148568617,50.0,7
266,654614175,50.0,7
267,829664514,20.0,7
268,803321204,49.0,7
269,287532404,48.0,7
270,604876819,46.0,7
271,251388393,51.0,7
272,549851463,48.0,7
274,802011554,52.0,7
275,635747278,43.0,7
276,827611327,45.0,7
279,200028206,52.0,7
280,367317839,50.0,7
283,320001219,43.0,7
284,806095004,45.0,7
285,794981163,47.0,7
286,912932855,50.0,7
287,500762519,39.0,7
288,973763888,43.0,7
289,170991668,51.0,7
290,259154711,50.0,7
291,853027552,44.0,7
292,612832753,46.0,7
293,113289517,38.0,7
294,823906653,52.0,7
295,543773582,45.0,7
296,624396569,48.0,7
297,498220528,45.0,7
298,507273770,48.0,7
299,582804068,48.0,7
301,977027424,48.0,7
302,799911481,37.0,7
304,567174326,46.0,7
305,827903731,51.0,7
306,766195530,49.0,7
307,760982848,45.0,7
308,175804971,44.0,7
309,450838843,49.0,7
310,228504431,48.0,7
312,617072763,26.0,7
314,271322090,50.0,7
315,874987678,50.0,7
316,344244488,48.0,7
317,596322861,50.0,7
318,844072779,50.0,7
320,712401694,43.0,7
321,469327354,44.0,7
322,224722605,48.0,7
323,975894419,46.0,7
324,347004012,49.0,7
325,202503529,48.0,7
326,109676668,43.0,7
327,612288045,42.0,7
328,592063653,50.0,7
330,451874760,48.0,7
334,812260068,35.0,7
335,951481595,41.0,7
336,921076154,41.0,7
337,449241542,23.0,7
338,613579952,52.0,7
339,795533292,48.0,7
340,961061035,40.0,7
341,524269695,40.0,7
342,233084695,29.0,7
344,927131401,33.0,7
345,512795474,49.0,7
346,331964985,46.0,7
347,855495962,43.0,7
348,998650703,26.0,7
350,779856123,38.0,7
351,448105180,50.0,7
352,152653717,46.0,7
353,869335817,48.0,7
355,663677168,48.0,7
356,612588975,48.0,7
358,194767716,48.0,7
359,413697324,47.0,7
360,295082527,49.0,7
361,820436799,50.0,7
363,140341082,33.0,7
364,959944273,46.0,7
365,737209238,51.0,7
366,789619419,48.0,7
367,409608341,48.0,7
368,670589436,48.0,7
369,528283788,38.0,7
370,387775822,46.0,7
372,435513629,48.0,7
373,933263408,48.0,7
375,629529492,50.0,7
376,686563160,50.0,7
377,739219874,48.0,7
378,394932001,48.0,7
379,239659876,44.0,7
380,312992693,45.0,7
381,269388788,49.0,7
382,431198619,50.0,7
384,987271395,35.0,7
385,484369130,49.0,7
386,528167595,52.0,7
387,443524764,44.0,7
388,173907334,50.0,7
389,692457537,41.0,7
390,538465676,30.0,7
392,591072381,41.0,7
394,903454596,50.0,7
396,145881787,52.0,7
397,486223826,50.0,7
399,308884206,50.0,7
400,605557149,52.0,7
401,888839383,45.0,7
