,randNumCol,Total Score,HW
0,801925577,48.0,2
1,262507520,44.0,2
2,853470508,49.0,2
3,468287725,51.0,2
4,966245481,46.5,2
5,688844688,49.5,2
6,602558521,51.0,2
7,728776101,51.0,2
8,513252691,49.0,2
9,798694774,51.0,2
10,880377892,48.0,2
11,140393680,49.0,2
12,406982131,51.0,2
13,631918976,52.0,2
14,555782827,51.0,2
15,556717963,49.0,2
16,213555276,44.0,2
17,357999413,49.0,2
18,429099317,32.0,2
19,429099317,43.0,2
20,429099317,43.0,2
21,429099317,39.0,2
25,759999244,32.0,2
26,759999244,43.0,2
27,759999244,43.0,2
28,759999244,39.0,2
32,963037118,32.0,2
33,963037118,43.0,2
34,963037118,43.0,2
35,963037118,39.0,2
39,649911435,32.0,2
40,649911435,43.0,2
41,649911435,43.0,2
42,649911435,39.0,2
46,981776346,32.0,2
47,981776346,43.0,2
48,981776346,43.0,2
49,981776346,39.0,2
53,490690273,32.0,2
54,490690273,43.0,2
55,490690273,43.0,2
56,490690273,39.0,2
60,208303123,32.0,2
61,208303123,43.0,2
62,208303123,43.0,2
63,208303123,39.0,2
67,215542326,43.0,2
68,683714891,49.0,2
70,450938085,48.0,2
71,791013869,51.0,2
72,431330025,46.0,2
73,538294395,48.0,2
75,513504661,49.0,2
76,519550803,47.0,2
78,482212493,47.0,2
79,647038181,48.0,2
80,846403629,44.0,2
81,586062294,49.0,2
82,884195403,49.5,2
83,996805395,49.0,2
84,512473607,23.0,2
85,981630158,47.0,2
86,425298232,46.0,2
87,868686594,44.0,2
88,891283532,34.5,2
89,757443096,46.5,2
90,915625252,40.0,2
91,887196036,28.0,2
92,853643793,46.0,2
93,367453952,44.0,2
94,581792455,49.0,2
95,102509560,52.0,2
96,604704694,42.0,2
97,860075746,49.0,2
98,351876097,21.5,2
99,196938750,47.0,2
100,208887130,48.0,2
101,304646933,46.5,2
102,718604469,52.0,2
103,722247081,50.0,2
104,817205605,43.0,2
105,611518158,48.0,2
106,177697048,51.0,2
107,260646050,10.0,2
108,616967158,52.0,2
109,315653647,50.0,2
111,196389138,51.0,2
112,677646110,48.0,2
113,739727903,45.0,2
114,239830252,46.0,2
115,236845553,51.0,2
116,819905544,19.0,2
117,718982500,52.0,2
118,393009742,38.0,2
119,695607399,48.0,2
120,426006334,42.5,2
121,815373712,46.0,2
122,757899821,50.0,2
123,321265210,52.0,2
124,997288135,52.0,2
125,362394432,47.0,2
126,883116166,36.0,2
127,293581171,52.0,2
128,381118522,46.0,2
129,317104199,38.0,2
130,466291288,48.0,2
131,844164199,49.0,2
132,578891403,46.5,2
133,558375823,47.0,2
134,287568073,51.0,2
135,709735325,47.0,2
136,287712537,41.0,2
137,496648192,50.0,2
138,139056282,43.0,2
139,411819068,39.5,2
140,968248176,42.5,2
141,744337479,48.0,2
142,105324844,47.0,2
144,484405746,43.0,2
145,943661848,49.0,2
147,359759230,47.0,2
148,442821320,47.0,2
149,963746914,40.0,2
150,410273349,48.0,2
151,928986287,50.0,2
152,411913399,48.0,2
153,717283131,29.0,2
154,889941393,48.0,2
155,788596770,48.0,2
156,941280573,51.0,2
157,250884994,47.0,2
158,719711907,45.0,2
159,118397071,43.5,2
160,888606400,52.0,2
161,193781663,34.0,2
162,236595923,51.0,2
163,464591232,38.0,2
164,937801142,49.0,2
165,718131231,44.0,2
166,207156324,46.0,2
167,138190992,51.0,2
168,188148399,47.0,2
169,258815820,50.0,2
170,177969362,46.0,2
171,200495348,47.0,2
172,228387210,50.0,2
173,177538742,49.0,2
174,251182625,47.0,2
175,897003650,48.0,2
176,851445222,49.0,2
177,980531633,44.0,2
178,857674188,49.0,2
179,636016277,45.0,2
181,754161398,33.0,2
182,488411601,47.5,2
183,722597200,48.0,2
185,147623686,47.0,2
186,549089373,49.0,2
187,706103987,50.0,2
188,974175861,42.0,2
189,341083491,37.0,2
191,183274315,51.0,2
192,496833752,48.5,2
193,881416106,42.0,2
195,781669299,42.0,2
197,119077366,51.0,2
198,834807552,48.0,2
199,307090791,49.0,2
200,540669649,51.0,2
201,994769592,48.0,2
202,936606317,35.0,2
203,535181971,49.0,2
204,265576960,50.5,2
205,706684758,47.0,2
206,262076393,51.0,2
207,529096059,7.0,2
208,831110918,44.0,2
209,499452888,48.0,2
210,305089579,34.5,2
211,800103092,50.0,2
213,226714695,46.0,2
214,382807776,49.0,2
215,538095794,49.0,2
217,391282183,47.0,2
218,761663525,49.0,2
219,253357219,45.0,2
220,158082447,27.5,2
221,654272102,47.0,2
222,242433745,51.0,2
223,748668207,50.0,2
224,416498814,48.0,2
225,714416096,50.0,2
226,803783009,49.0,2
227,422591545,42.0,2
229,979704902,39.0,2
230,526557461,37.0,2
231,599867770,48.0,2
232,918749665,47.5,2
233,959883566,51.0,2
234,597567139,40.0,2
235,103516833,48.0,2
236,992611871,46.0,2
237,583945776,48.0,2
238,468351365,45.0,2
240,829757696,49.0,2
241,828110959,51.0,2
242,818120983,49.0,2
243,122086878,49.0,2
244,992179622,50.0,2
245,580872504,51.0,2
246,340015460,45.0,2
247,315771604,46.0,2
248,287997147,49.0,2
249,174700007,11.0,2
250,934612942,50.0,2
251,237280992,51.0,2
252,587634781,44.0,2
253,734458226,48.0,2
254,286960191,46.0,2
255,807600492,35.0,2
256,915813150,46.0,2
258,944383529,51.0,2
259,114562364,50.0,2
260,995177563,46.0,2
261,827900608,37.0,2
262,328478800,49.0,2
263,606523192,52.0,2
264,909619050,34.0,2
265,148568617,51.0,2
266,654614175,36.0,2
267,829664514,51.0,2
268,803321204,46.5,2
269,287532404,49.0,2
270,604876819,45.0,2
271,251388393,51.0,2
272,549851463,48.0,2
274,802011554,41.0,2
275,635747278,47.0,2
276,827611327,47.0,2
277,981101538,51.0,2
278,987928730,49.0,2
279,200028206,51.0,2
280,367317839,49.0,2
281,724100099,49.0,2
282,155851248,48.0,2
283,320001219,48.0,2
284,806095004,36.0,2
285,794981163,51.0,2
286,912932855,50.0,2
287,500762519,43.0,2
288,973763888,49.0,2
289,170991668,49.0,2
