,randNumCol,Total Score,HW
0,801925577,48.0,1
1,262507520,40.0,1
2,853470508,43.0,1
3,468287725,45.0,1
4,966245481,52.5,1
5,688844688,23.5,1
6,602558521,42.0,1
7,728776101,54.0,1
8,513252691,46.0,1
9,798694774,47.0,1
10,880377892,52.0,1
11,140393680,48.0,1
12,406982131,47.0,1
13,631918976,43.0,1
14,555782827,45.5,1
15,556717963,46.0,1
16,213555276,29.0,1
17,357999413,38.5,1
19,429099317,7.0,1
20,429099317,46.0,1
21,429099317,3.0,1
22,429099317,24.0,1
23,429099317,29.5,1
26,759999244,7.0,1
27,759999244,46.0,1
28,759999244,3.0,1
29,759999244,24.0,1
30,759999244,29.5,1
33,963037118,7.0,1
34,963037118,46.0,1
35,963037118,3.0,1
36,963037118,24.0,1
37,963037118,29.5,1
40,649911435,7.0,1
41,649911435,46.0,1
42,649911435,3.0,1
43,649911435,24.0,1
44,649911435,29.5,1
47,981776346,7.0,1
48,981776346,46.0,1
49,981776346,3.0,1
50,981776346,24.0,1
51,981776346,29.5,1
54,490690273,7.0,1
55,490690273,46.0,1
56,490690273,3.0,1
57,490690273,24.0,1
58,490690273,29.5,1
61,208303123,7.0,1
62,208303123,46.0,1
63,208303123,3.0,1
64,208303123,24.0,1
65,208303123,29.5,1
67,215542326,43.0,1
68,683714891,41.5,1
70,450938085,52.0,1
71,791013869,45.0,1
72,431330025,46.5,1
73,538294395,38.5,1
75,513504661,39.0,1
76,519550803,40.5,1
78,482212493,48.5,1
79,647038181,52.0,1
80,846403629,43.5,1
81,586062294,52.0,1
82,884195403,43.5,1
83,996805395,45.0,1
84,512473607,16.0,1
85,981630158,54.5,1
86,425298232,38.0,1
87,868686594,47.0,1
88,891283532,24.5,1
89,757443096,48.0,1
90,915625252,45.0,1
91,887196036,32.0,1
92,853643793,49.5,1
93,367453952,15.0,1
94,581792455,30.0,1
95,102509560,49.0,1
96,604704694,16.5,1
97,860075746,46.0,1
98,351876097,45.0,1
99,196938750,49.0,1
100,208887130,47.0,1
101,304646933,40.0,1
102,718604469,46.0,1
103,722247081,47.0,1
104,817205605,44.0,1
105,611518158,49.0,1
106,177697048,48.0,1
107,260646050,25.0,1
108,616967158,50.0,1
109,315653647,45.0,1
110,358296522,30.5,1
111,196389138,46.0,1
112,677646110,38.0,1
113,739727903,28.5,1
114,239830252,48.0,1
115,236845553,19.0,1
116,819905544,29.0,1
117,718982500,53.0,1
118,393009742,38.0,1
119,695607399,48.0,1
120,426006334,32.5,1
121,815373712,25.0,1
122,757899821,41.0,1
123,321265210,40.0,1
124,997288135,38.0,1
125,362394432,47.0,1
127,293581171,53.0,1
128,381118522,13.0,1
129,317104199,35.0,1
130,466291288,40.0,1
131,844164199,50.0,1
132,578891403,41.0,1
133,558375823,48.5,1
134,287568073,53.0,1
135,709735325,43.0,1
136,287712537,47.5,1
137,496648192,52.0,1
138,139056282,45.0,1
139,411819068,29.5,1
140,968248176,48.0,1
141,744337479,50.0,1
142,105324844,40.5,1
143,608215287,37.0,1
144,484405746,43.0,1
145,943661848,48.0,1
147,359759230,44.0,1
148,442821320,47.0,1
149,963746914,35.0,1
150,410273349,47.0,1
151,928986287,38.0,1
152,411913399,52.0,1
153,717283131,38.5,1
154,889941393,52.0,1
155,788596770,46.0,1
156,941280573,52.0,1
157,250884994,39.0,1
158,719711907,49.0,1
159,118397071,33.0,1
160,888606400,49.0,1
161,193781663,27.0,1
162,236595923,52.0,1
163,464591232,44.0,1
164,937801142,49.0,1
165,718131231,49.0,1
166,207156324,45.0,1
167,138190992,53.0,1
168,188148399,44.0,1
169,258815820,42.5,1
170,177969362,43.0,1
171,200495348,45.0,1
172,228387210,43.0,1
173,177538742,50.0,1
174,251182625,26.5,1
175,897003650,50.0,1
176,851445222,54.0,1
177,980531633,31.0,1
178,857674188,28.0,1
179,636016277,29.0,1
180,277755079,44.0,1
182,488411601,50.0,1
183,722597200,42.0,1
184,149156269,51.0,1
185,147623686,33.5,1
186,549089373,43.0,1
187,706103987,37.0,1
188,974175861,49.0,1
189,341083491,46.0,1
190,564894421,17.0,1
191,183274315,47.5,1
192,496833752,50.0,1
193,881416106,40.0,1
195,781669299,40.0,1
197,119077366,49.0,1
198,834807552,50.0,1
199,307090791,49.0,1
200,540669649,44.0,1
201,994769592,44.0,1
202,936606317,37.0,1
203,535181971,49.0,1
204,265576960,47.0,1
205,706684758,31.0,1
206,262076393,50.0,1
207,529096059,13.0,1
208,831110918,47.0,1
209,499452888,33.0,1
210,305089579,38.5,1
211,800103092,42.0,1
213,226714695,49.0,1
214,382807776,34.0,1
215,538095794,47.0,1
217,391282183,45.0,1
218,761663525,44.0,1
219,253357219,45.0,1
220,158082447,36.0,1
221,654272102,32.0,1
222,242433745,48.0,1
223,748668207,44.5,1
224,416498814,46.5,1
225,714416096,43.0,1
226,803783009,49.0,1
227,422591545,37.0,1
228,454761787,53.0,1
229,979704902,46.0,1
230,526557461,49.0,1
231,599867770,36.0,1
232,918749665,49.0,1
233,959883566,44.5,1
234,597567139,49.5,1
235,103516833,45.0,1
236,992611871,38.0,1
237,583945776,47.0,1
238,468351365,45.0,1
239,171128713,45.0,1
240,829757696,49.0,1
241,828110959,51.5,1
242,818120983,48.0,1
243,122086878,48.0,1
244,992179622,35.0,1
245,580872504,50.0,1
246,340015460,40.5,1
247,315771604,46.0,1
248,287997147,49.0,1
249,174700007,21.5,1
250,934612942,40.0,1
251,237280992,47.0,1
252,587634781,54.0,1
253,734458226,40.0,1
254,286960191,46.0,1
255,807600492,28.0,1
256,915813150,51.0,1
258,944383529,53.0,1
259,114562364,49.0,1
260,995177563,49.0,1
261,827900608,43.0,1
262,328478800,49.0,1
263,606523192,52.0,1
264,909619050,32.0,1
265,148568617,51.0,1
266,654614175,45.0,1
267,829664514,40.5,1
268,803321204,36.0,1
269,287532404,47.0,1
270,604876819,47.0,1
271,251388393,54.0,1
272,549851463,41.0,1
274,802011554,36.0,1
275,635747278,31.0,1
276,827611327,46.0,1
277,981101538,52.0,1
278,987928730,45.0,1
279,200028206,52.0,1
280,367317839,53.0,1
281,724100099,45.0,1
282,155851248,45.0,1
283,320001219,47.0,1
285,794981163,45.5,1
286,912932855,43.5,1
287,500762519,47.0,1
288,973763888,48.0,1
289,170991668,25.0,1
290,259154711,52.0,1
291,853027552,49.0,1
292,612832753,37.0,1
293,113289517,20.0,1
294,823906653,55.0,1
295,543773582,36.0,1
296,624396569,53.0,1
297,498220528,49.0,1
298,507273770,46.0,1
299,582804068,42.0,1
300,241288793,46.5,1
302,799911481,20.0,1
303,820492858,28.0,1
304,567174326,42.0,1
305,827903731,53.0,1
306,766195530,48.0,1
307,760982848,18.0,1
308,175804971,30.5,1
309,450838843,39.0,1
310,228504431,42.0,1
311,172025158,47.5,1
313,205298298,31.0,1
314,271322090,52.0,1
315,874987678,40.0,1
316,344244488,48.0,1
317,596322861,46.0,1
318,844072779,46.0,1
319,789354791,35.0,1
320,712401694,45.0,1
322,224722605,44.0,1
323,975894419,48.0,1
324,347004012,49.0,1
325,202503529,47.0,1
326,109676668,40.0,1
327,612288045,40.0,1
328,592063653,34.5,1
329,703728651,36.5,1
330,451874760,50.0,1
331,646355412,52.5,1
332,230651161,43.0,1
334,812260068,14.0,1
335,951481595,37.0,1
336,921076154,43.0,1
338,613579952,38.5,1
339,795533292,45.0,1
340,961061035,41.0,1
341,524269695,46.0,1
342,233084695,44.0,1
343,618644141,48.5,1
344,927131401,40.0,1
345,512795474,49.0,1
346,331964985,40.0,1
347,855495962,47.0,1
348,998650703,12.0,1
349,856742706,30.0,1
350,779856123,44.0,1
351,448105180,29.0,1
352,152653717,44.0,1
354,357395409,9.0,1
355,663677168,33.0,1
356,612588975,37.0,1
357,236439197,48.0,1
358,194767716,43.5,1
359,413697324,47.0,1
360,295082527,46.0,1
362,818032069,43.5,1
363,140341082,38.0,1
364,959944273,47.0,1
365,737209238,54.0,1
366,789619419,47.5,1
367,409608341,51.5,1
368,670589436,43.0,1
369,528283788,47.0,1
370,387775822,34.0,1
371,491423621,17.0,1
372,435513629,40.0,1
373,933263408,50.0,1
374,334276170,48.0,1
375,629529492,45.5,1
376,686563160,48.0,1
377,739219874,46.0,1
378,394932001,38.5,1
379,239659876,28.0,1
380,312992693,53.0,1
381,269388788,45.0,1
382,431198619,48.0,1
383,989909750,38.5,1
384,987271395,25.0,1
385,484369130,28.0,1
386,528167595,47.0,1
387,443524764,41.0,1
388,173907334,46.0,1
390,538465676,45.0,1
391,265370417,3.0,1
394,903454596,42.5,1
395,885343848,49.0,1
396,145881787,53.0,1
397,486223826,53.0,1
399,308884206,45.0,1
400,605557149,48.0,1
401,888839383,45.0,1
