,randNumCol,Total Score,HW
0,801925577,41.0,3
1,262507520,47.0,3
2,853470508,45.0,3
3,468287725,38.5,3
4,966245481,53.0,3
5,688844688,48.0,3
6,602558521,44.5,3
7,728776101,53.0,3
8,513252691,51.5,3
9,798694774,47.5,3
10,880377892,48.0,3
11,140393680,46.0,3
12,406982131,47.5,3
13,631918976,49.5,3
14,555782827,48.5,3
15,556717963,53.0,3
16,213555276,46.0,3
17,357999413,46.0,3
18,429099317,50.0,3
19,429099317,33.5,3
20,429099317,37.0,3
21,429099317,48.5,3
25,759999244,50.0,3
26,759999244,33.5,3
27,759999244,37.0,3
28,759999244,48.5,3
32,963037118,50.0,3
33,963037118,33.5,3
34,963037118,37.0,3
35,963037118,48.5,3
39,649911435,50.0,3
40,649911435,33.5,3
41,649911435,37.0,3
42,649911435,48.5,3
46,981776346,50.0,3
47,981776346,33.5,3
48,981776346,37.0,3
49,981776346,48.5,3
53,490690273,50.0,3
54,490690273,33.5,3
55,490690273,37.0,3
56,490690273,48.5,3
60,208303123,50.0,3
61,208303123,33.5,3
62,208303123,37.0,3
63,208303123,48.5,3
67,215542326,49.5,3
68,683714891,38.0,3
70,450938085,50.0,3
72,431330025,53.0,3
73,538294395,41.5,3
75,513504661,50.0,3
76,519550803,41.0,3
78,482212493,48.5,3
79,647038181,50.0,3
80,846403629,46.0,3
81,586062294,47.0,3
82,884195403,52.0,3
83,996805395,48.0,3
85,981630158,53.0,3
86,425298232,46.5,3
87,868686594,52.5,3
88,891283532,29.5,3
89,757443096,39.0,3
90,915625252,43.5,3
91,887196036,32.0,3
92,853643793,46.5,3
93,367453952,39.5,3
94,581792455,49.0,3
95,102509560,50.0,3
97,860075746,50.0,3
98,351876097,37.0,3
99,196938750,53.0,3
101,304646933,46.0,3
102,718604469,50.0,3
103,722247081,43.5,3
104,817205605,47.0,3
105,611518158,51.5,3
106,177697048,45.5,3
108,616967158,45.5,3
109,315653647,46.5,3
110,358296522,20.0,3
111,196389138,52.0,3
112,677646110,48.5,3
113,739727903,35.0,3
114,239830252,50.0,3
115,236845553,50.0,3
116,819905544,4.0,3
117,718982500,52.0,3
118,393009742,39.5,3
119,695607399,44.0,3
120,426006334,31.0,3
121,815373712,48.5,3
122,757899821,42.0,3
123,321265210,50.0,3
124,997288135,50.0,3
125,362394432,43.5,3
126,883116166,45.0,3
127,293581171,53.0,3
128,381118522,45.0,3
129,317104199,30.0,3
130,466291288,53.0,3
131,844164199,51.5,3
133,558375823,49.0,3
134,287568073,53.0,3
135,709735325,44.0,3
136,287712537,50.0,3
137,496648192,53.0,3
138,139056282,50.0,3
139,411819068,39.0,3
140,968248176,51.5,3
141,744337479,51.5,3
142,105324844,44.0,3
144,484405746,43.0,3
145,943661848,49.0,3
147,359759230,43.5,3
148,442821320,51.0,3
149,963746914,49.5,3
150,410273349,51.5,3
151,928986287,48.0,3
152,411913399,47.0,3
153,717283131,50.0,3
154,889941393,53.0,3
155,788596770,51.0,3
156,941280573,50.0,3
157,250884994,44.5,3
158,719711907,47.0,3
159,118397071,43.5,3
160,888606400,53.0,3
161,193781663,34.0,3
162,236595923,48.0,3
163,464591232,46.0,3
164,937801142,45.0,3
165,718131231,50.0,3
166,207156324,50.0,3
167,138190992,47.0,3
168,188148399,53.0,3
169,258815820,51.5,3
170,177969362,48.5,3
171,200495348,38.5,3
172,228387210,53.0,3
173,177538742,44.5,3
174,251182625,25.5,3
175,897003650,52.0,3
176,851445222,49.0,3
177,980531633,41.0,3
179,636016277,40.0,3
181,754161398,49.0,3
182,488411601,50.0,3
183,722597200,44.0,3
185,147623686,43.5,3
186,549089373,47.0,3
187,706103987,48.0,3
188,974175861,44.5,3
189,341083491,50.0,3
191,183274315,47.0,3
192,496833752,42.0,3
193,881416106,44.0,3
195,781669299,44.0,3
197,119077366,53.0,3
198,834807552,50.0,3
199,307090791,50.0,3
200,540669649,50.0,3
201,994769592,37.0,3
202,936606317,47.5,3
203,535181971,50.0,3
204,265576960,50.0,3
205,706684758,51.0,3
206,262076393,47.0,3
208,831110918,33.0,3
209,499452888,48.0,3
210,305089579,47.0,3
211,800103092,48.0,3
213,226714695,53.0,3
214,382807776,45.0,3
215,538095794,50.0,3
217,391282183,44.0,3
218,761663525,49.5,3
219,253357219,52.0,3
220,158082447,50.0,3
221,654272102,47.0,3
222,242433745,47.5,3
223,748668207,50.0,3
224,416498814,47.0,3
225,714416096,53.0,3
226,803783009,47.0,3
227,422591545,49.0,3
228,454761787,34.0,3
229,979704902,37.0,3
230,526557461,49.0,3
231,599867770,42.5,3
232,918749665,48.0,3
233,959883566,51.0,3
234,597567139,46.0,3
235,103516833,42.5,3
236,992611871,38.5,3
237,583945776,48.0,3
238,468351365,50.0,3
240,829757696,53.0,3
241,828110959,51.5,3
242,818120983,49.0,3
243,122086878,46.0,3
244,992179622,47.0,3
245,580872504,49.0,3
246,340015460,42.5,3
247,315771604,43.0,3
248,287997147,43.0,3
250,934612942,44.5,3
251,237280992,53.0,3
252,587634781,49.0,3
253,734458226,51.0,3
254,286960191,47.0,3
255,807600492,37.5,3
256,915813150,53.0,3
258,944383529,48.5,3
259,114562364,48.5,3
260,995177563,45.0,3
261,827900608,45.0,3
262,328478800,40.5,3
263,606523192,48.5,3
265,148568617,48.5,3
266,654614175,38.5,3
267,829664514,50.5,3
268,803321204,52.0,3
269,287532404,50.5,3
270,604876819,48.0,3
271,251388393,53.0,3
272,549851463,47.0,3
274,802011554,42.0,3
275,635747278,45.0,3
276,827611327,49.0,3
277,981101538,48.5,3
278,987928730,43.5,3
279,200028206,51.5,3
280,367317839,53.0,3
281,724100099,45.0,3
282,155851248,46.0,3
283,320001219,45.5,3
284,806095004,34.5,3
285,794981163,48.0,3
286,912932855,53.0,3
287,500762519,50.0,3
288,973763888,48.5,3
289,170991668,47.0,3
290,259154711,53.0,3
291,853027552,47.0,3
292,612832753,46.0,3
293,113289517,49.5,3
294,823906653,53.0,3
295,543773582,40.5,3
296,624396569,51.5,3
297,498220528,41.0,3
298,507273770,48.5,3
299,582804068,42.0,3
300,241288793,46.5,3
301,977027424,24.0,3
302,799911481,44.0,3
303,820492858,30.5,3
304,567174326,38.0,3
305,827903731,53.0,3
306,766195530,50.0,3
307,760982848,33.0,3
308,175804971,38.0,3
309,450838843,45.5,3
310,228504431,48.5,3
311,172025158,49.5,3
313,205298298,50.0,3
314,271322090,49.0,3
315,874987678,49.0,3
316,344244488,53.0,3
317,596322861,34.0,3
318,844072779,50.0,3
319,789354791,37.0,3
320,712401694,36.0,3
321,469327354,39.0,3
322,224722605,44.0,3
323,975894419,51.5,3
324,347004012,51.0,3
325,202503529,47.0,3
326,109676668,48.5,3
327,612288045,43.0,3
328,592063653,51.5,3
329,703728651,47.0,3
330,451874760,46.0,3
331,646355412,51.5,3
332,230651161,50.0,3
334,812260068,45.0,3
335,951481595,32.0,3
336,921076154,51.0,3
337,449241542,18.0,3
338,613579952,51.5,3
339,795533292,42.0,3
340,961061035,31.0,3
342,233084695,38.0,3
343,618644141,51.5,3
344,927131401,47.5,3
345,512795474,50.0,3
346,331964985,42.0,3
347,855495962,50.0,3
348,998650703,18.0,3
349,856742706,35.0,3
350,779856123,42.0,3
351,448105180,33.5,3
352,152653717,45.5,3
354,357395409,45.0,3
355,663677168,51.5,3
356,612588975,42.0,3
357,236439197,41.0,3
358,194767716,44.0,3
359,413697324,53.0,3
360,295082527,47.0,3
361,820436799,53.0,3
362,818032069,51.5,3
363,140341082,46.5,3
364,959944273,41.0,3
365,737209238,53.0,3
366,789619419,53.0,3
367,409608341,50.0,3
368,670589436,53.0,3
369,528283788,49.0,3
370,387775822,47.5,3
372,435513629,48.0,3
373,933263408,49.0,3
374,334276170,47.0,3
375,629529492,44.0,3
376,686563160,48.5,3
377,739219874,48.5,3
378,394932001,42.0,3
379,239659876,47.5,3
380,312992693,53.0,3
381,269388788,47.0,3
382,431198619,47.0,3
384,987271395,50.0,3
385,484369130,29.0,3
386,528167595,53.0,3
387,443524764,38.0,3
388,173907334,47.0,3
390,538465676,46.0,3
392,591072381,51.5,3
393,776100277,27.5,3
394,903454596,46.0,3
395,885343848,53.0,3
396,145881787,53.0,3
397,486223826,50.0,3
399,308884206,47.5,3
400,605557149,47.0,3
401,888839383,49.5,3
