,randNumCol,Total Score,HW
0,801925577,50.0,8
2,853470508,49.0,8
3,468287725,51.0,8
4,966245481,53.0,8
5,688844688,49.0,8
6,602558521,46.0,8
7,728776101,50.0,8
8,513252691,46.0,8
9,798694774,50.0,8
10,880377892,46.0,8
12,406982131,47.0,8
13,631918976,44.0,8
14,555782827,47.0,8
16,213555276,37.0,8
17,357999413,49.0,8
68,683714891,37.0,8
71,791013869,47.0,8
73,538294395,49.0,8
74,144202762,39.0,8
79,647038181,50.0,8
80,846403629,42.0,8
81,586062294,40.0,8
82,884195403,49.0,8
83,996805395,46.0,8
85,981630158,49.0,8
86,425298232,46.0,8
87,868686594,39.0,8
88,891283532,39.0,8
90,915625252,50.0,8
91,887196036,24.0,8
94,581792455,49.0,8
95,102509560,39.0,8
96,604704694,13.0,8
97,860075746,48.0,8
98,351876097,45.0,8
99,196938750,50.0,8
100,208887130,50.0,8
101,304646933,38.0,8
102,718604469,49.0,8
103,722247081,49.0,8
104,817205605,49.0,8
105,611518158,50.0,8
106,177697048,43.0,8
108,616967158,45.0,8
109,315653647,45.0,8
110,358296522,22.0,8
111,196389138,47.0,8
112,677646110,43.0,8
113,739727903,45.0,8
114,239830252,35.0,8
115,236845553,43.0,8
116,819905544,36.0,8
117,718982500,52.0,8
118,393009742,46.0,8
119,695607399,42.0,8
120,426006334,50.0,8
121,815373712,48.0,8
122,757899821,38.0,8
123,321265210,48.0,8
124,997288135,42.0,8
126,883116166,42.0,8
127,293581171,53.0,8
128,381118522,46.0,8
129,317104199,36.0,8
130,466291288,49.0,8
131,844164199,46.0,8
132,578891403,50.0,8
134,287568073,44.0,8
135,709735325,38.0,8
136,287712537,50.0,8
137,496648192,49.0,8
138,139056282,45.0,8
139,411819068,43.0,8
140,968248176,45.0,8
141,744337479,50.0,8
142,105324844,39.0,8
144,484405746,43.0,8
147,359759230,42.0,8
148,442821320,3.0,8
149,963746914,50.0,8
150,410273349,49.0,8
151,928986287,48.0,8
153,717283131,46.0,8
154,889941393,50.0,8
155,788596770,48.0,8
156,941280573,53.0,8
157,250884994,40.0,8
158,719711907,50.0,8
159,118397071,38.0,8
160,888606400,48.0,8
161,193781663,31.0,8
163,464591232,49.0,8
165,718131231,44.0,8
166,207156324,42.0,8
168,188148399,45.0,8
171,200495348,44.0,8
173,177538742,45.0,8
174,251182625,37.0,8
175,897003650,45.0,8
176,851445222,48.0,8
177,980531633,47.0,8
178,857674188,42.0,8
179,636016277,36.0,8
181,754161398,36.0,8
182,488411601,33.0,8
183,722597200,47.0,8
185,147623686,47.0,8
186,549089373,48.0,8
187,706103987,38.0,8
188,974175861,44.0,8
189,341083491,48.0,8
190,564894421,27.0,8
191,183274315,49.0,8
193,881416106,44.0,8
195,781669299,44.0,8
197,119077366,53.0,8
198,834807552,45.0,8
199,307090791,50.0,8
201,994769592,10.0,8
204,265576960,45.0,8
205,706684758,40.0,8
206,262076393,45.0,8
208,831110918,33.0,8
209,499452888,52.0,8
210,305089579,45.0,8
211,800103092,50.0,8
212,730386537,41.0,8
213,226714695,47.0,8
214,382807776,39.0,8
215,538095794,50.0,8
217,391282183,50.0,8
218,761663525,48.0,8
219,253357219,49.0,8
220,158082447,49.0,8
221,654272102,44.0,8
222,242433745,47.0,8
223,748668207,47.0,8
224,416498814,48.0,8
225,714416096,50.0,8
229,979704902,39.0,8
231,599867770,48.0,8
232,918749665,49.0,8
233,959883566,48.0,8
234,597567139,44.0,8
235,103516833,38.0,8
236,992611871,42.0,8
237,583945776,45.0,8
238,468351365,48.0,8
241,828110959,43.0,8
242,818120983,49.0,8
244,992179622,44.0,8
245,580872504,38.0,8
246,340015460,39.0,8
248,287997147,40.0,8
250,934612942,48.0,8
251,237280992,47.0,8
252,587634781,50.0,8
253,734458226,50.0,8
254,286960191,43.0,8
255,807600492,42.0,8
256,915813150,44.0,8
258,944383529,40.0,8
259,114562364,50.0,8
260,995177563,49.0,8
263,606523192,49.0,8
264,909619050,42.0,8
267,829664514,37.0,8
268,803321204,40.0,8
269,287532404,45.0,8
270,604876819,46.0,8
271,251388393,44.0,8
272,549851463,44.0,8
275,635747278,49.0,8
276,827611327,49.0,8
277,981101538,45.0,8
278,987928730,50.0,8
279,200028206,45.0,8
280,367317839,51.0,8
282,155851248,46.0,8
283,320001219,48.0,8
284,806095004,42.0,8
285,794981163,53.0,8
286,912932855,49.0,8
287,500762519,45.0,8
288,973763888,50.0,8
289,170991668,52.0,8
290,259154711,50.0,8
