,randNumCol,mid1,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10
72,817205605,142.5,44.0,43.0,47.0,46.0,45.0,41.0,48.0,49.0,48.0,55.0
73,611518158,133.5,49.0,48.0,51.5,49.0,48.0,38.0,49.0,50.0,,
74,177697048,118.5,48.0,51.0,45.5,50.5,49.0,41.0,43.0,43.0,50.0,55.0
75,616967158,137.5,50.0,52.0,45.5,49.0,44.0,48.0,46.0,45.0,50.0,55.0
76,315653647,109.5,45.0,50.0,46.5,48.5,40.0,29.0,24.0,45.0,50.0,
77,358296522,115.0,30.5,,20.0,20.0,27.0,,,22.0,28.0,50.0
78,677646110,150.0,38.0,48.0,48.5,52.0,52.0,48.0,50.0,43.0,46.0,45.0
79,739727903,134.5,28.5,45.0,35.0,39.0,45.0,35.0,36.0,45.0,48.0,
80,239830252,118.5,48.0,46.0,50.0,46.0,50.0,50.0,44.0,35.0,50.0,
81,236845553,143.5,19.0,51.0,50.0,40.5,49.0,41.0,41.0,43.0,37.0,53.0
82,819905544,90.5,29.0,19.0,4.0,41.0,30.0,28.0,30.0,36.0,32.0,20.0
83,718982500,146.5,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,55.0
84,393009742,125.5,38.0,38.0,39.5,46.0,43.0,50.5,44.0,46.0,45.0,35.0
85,695607399,126.5,48.0,48.0,44.0,16.0,47.0,43.0,42.0,42.0,50.0,
86,426006334,124.5,32.5,42.5,31.0,39.5,46.0,35.0,20.0,50.0,44.0,55.0
87,815373712,134.0,25.0,46.0,48.5,47.0,49.0,46.0,48.0,48.0,50.0,
88,757899821,125.0,41.0,50.0,42.0,42.5,45.0,42.0,35.0,38.0,44.0,55.0
89,321265210,134.0,40.0,52.0,50.0,52.0,48.0,46.0,50.0,48.0,,50.0
90,362394432,126.5,47.0,47.0,43.5,43.5,49.0,46.0,47.0,,50.0,
91,883116166,100.0,,36.0,45.0,40.5,,45.0,40.0,42.0,47.0,
92,293581171,143.0,53.0,52.0,53.0,52.0,52.0,49.0,52.0,53.0,53.0,
93,381118522,111.0,13.0,46.0,45.0,49.0,47.0,41.0,45.0,46.0,48.0,55.0
94,317104199,98.5,35.0,38.0,30.0,39.0,44.0,44.0,41.0,36.0,,46.0
95,466291288,125.0,40.0,48.0,53.0,52.0,45.0,44.5,50.0,49.0,45.0,
96,844164199,128.5,50.0,49.0,51.5,50.0,48.0,50.0,44.0,46.0,,55.0
97,578891403,52.0,41.0,46.5,,40.5,39.0,35.0,38.0,50.0,48.0,
98,558375823,135.0,48.5,47.0,49.0,46.5,49.0,43.0,,,,50.0
99,287568073,147.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,44.0,,55.0
100,709735325,38.0,43.0,47.0,44.0,34.0,49.0,44.0,41.0,38.0,41.0,
