,randNumCol,Total Score,HW
0,801925577,48.0,5
1,262507520,47.0,5
2,853470508,50.0,5
3,468287725,51.0,5
4,966245481,52.0,5
5,688844688,49.0,5
6,602558521,45.0,5
7,728776101,42.0,5
8,513252691,52.0,5
9,798694774,47.0,5
10,880377892,50.0,5
11,140393680,50.0,5
12,406982131,39.0,5
13,631918976,50.0,5
14,555782827,47.0,5
15,556717963,51.0,5
16,213555276,43.0,5
17,357999413,50.0,5
18,429099317,47.0,5
19,429099317,47.0,5
20,429099317,32.0,5
21,429099317,30.0,5
25,759999244,47.0,5
26,759999244,47.0,5
27,759999244,32.0,5
28,759999244,30.0,5
32,963037118,47.0,5
33,963037118,47.0,5
34,963037118,32.0,5
35,963037118,30.0,5
39,649911435,47.0,5
40,649911435,47.0,5
41,649911435,32.0,5
42,649911435,30.0,5
46,981776346,47.0,5
47,981776346,47.0,5
48,981776346,32.0,5
49,981776346,30.0,5
53,490690273,47.0,5
54,490690273,47.0,5
55,490690273,32.0,5
56,490690273,30.0,5
60,208303123,47.0,5
61,208303123,47.0,5
62,208303123,32.0,5
63,208303123,30.0,5
67,215542326,48.0,5
68,683714891,51.0,5
70,450938085,50.0,5
71,791013869,51.0,5
72,431330025,49.0,5
73,538294395,45.0,5
74,144202762,35.0,5
75,513504661,52.0,5
76,519550803,48.0,5
78,482212493,48.0,5
79,647038181,52.0,5
80,846403629,46.0,5
81,586062294,47.0,5
82,884195403,49.0,5
83,996805395,49.0,5
85,981630158,38.0,5
86,425298232,47.0,5
87,868686594,47.0,5
88,891283532,50.0,5
89,757443096,49.0,5
90,915625252,50.0,5
91,887196036,9.0,5
92,853643793,47.0,5
93,367453952,49.0,5
94,581792455,39.0,5
95,102509560,49.0,5
96,604704694,30.0,5
97,860075746,49.0,5
98,351876097,48.0,5
99,196938750,52.0,5
101,304646933,45.0,5
102,718604469,46.0,5
103,722247081,47.0,5
104,817205605,45.0,5
105,611518158,48.0,5
106,177697048,49.0,5
108,616967158,44.0,5
109,315653647,40.0,5
110,358296522,27.0,5
111,196389138,50.0,5
112,677646110,52.0,5
113,739727903,45.0,5
114,239830252,50.0,5
115,236845553,49.0,5
116,819905544,30.0,5
117,718982500,52.0,5
118,393009742,43.0,5
119,695607399,47.0,5
120,426006334,46.0,5
121,815373712,49.0,5
122,757899821,45.0,5
123,321265210,48.0,5
124,997288135,47.0,5
125,362394432,49.0,5
127,293581171,52.0,5
128,381118522,47.0,5
129,317104199,44.0,5
130,466291288,45.0,5
131,844164199,48.0,5
132,578891403,39.0,5
133,558375823,49.0,5
134,287568073,52.0,5
135,709735325,49.0,5
136,287712537,42.0,5
137,496648192,51.0,5
138,139056282,44.0,5
139,411819068,35.0,5
140,968248176,48.0,5
141,744337479,50.0,5
142,105324844,46.0,5
144,484405746,49.0,5
145,943661848,47.0,5
147,359759230,49.0,5
148,442821320,52.0,5
149,963746914,41.0,5
150,410273349,52.0,5
151,928986287,51.0,5
152,411913399,27.0,5
153,717283131,50.0,5
154,889941393,52.0,5
155,788596770,49.0,5
156,941280573,52.0,5
157,250884994,49.0,5
158,719711907,48.0,5
159,118397071,49.0,5
160,888606400,49.0,5
161,193781663,37.0,5
162,236595923,52.0,5
163,464591232,47.0,5
164,937801142,47.0,5
165,718131231,48.0,5
166,207156324,52.0,5
167,138190992,50.0,5
168,188148399,46.0,5
169,258815820,44.0,5
170,177969362,41.0,5
171,200495348,48.5,5
172,228387210,50.0,5
173,177538742,47.0,5
174,251182625,41.0,5
175,897003650,48.0,5
176,851445222,50.0,5
177,980531633,37.0,5
178,857674188,48.0,5
