randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (20.0 pts),2.1: 1 (15.0 pts),2.2: 2 (20.0 pts),3.1: 1 (10.0 pts),3.2: 2 (10.0 pts),3.3: 3 (10.0 pts),4.1 (35.0 pts),5: Q5 (30.0 pts)
158082447,133.0,150.0,Graded,2022-10-06 12:27:22 -0500,00:02:22,3.0,1.0,18.0,15.0,15.0,10.0,10.0,8.0,28.0,29.0
654272102,77.5,150.0,Graded,2022-10-06 12:25:22 -0500,00:00:22,3.0,1.0,6.0,15.0,10.0,5.0,8.0,2.0,11.5,20.0
242433745,99.0,150.0,Graded,2022-10-06 12:17:51 -0500,00:00:00,5.0,1.0,8.0,14.0,15.0,10.0,10.0,6.0,6.0,30.0
748668207,104.0,150.0,Graded,2022-10-06 16:38:31 -0500,04:13:31,1.0,2.0,8.0,15.0,11.0,10.0,10.0,4.0,32.0,14.0
416498814,130.0,150.0,Graded,2022-10-06 12:24:11 -0500,00:00:00,5.0,1.0,20.0,15.0,12.0,10.0,10.0,8.0,29.0,26.0
714416096,133.0,150.0,Graded,2022-10-06 12:23:51 -0500,00:00:00,4.0,1.0,14.0,15.0,20.0,10.0,10.0,10.0,29.0,25.0
803783009,145.0,150.0,Graded,2022-10-06 12:07:24 -0500,00:00:00,4.0,1.0,20.0,15.0,20.0,10.0,10.0,8.0,35.0,27.0
422591545,119.5,150.0,Graded,2022-10-06 12:15:44 -0500,00:00:00,3.0,1.0,16.0,15.0,15.0,10.0,10.0,6.0,17.5,30.0
979704902,100.0,150.0,Graded,2022-10-06 13:46:10 -0500,01:21:10,3.0,1.0,16.0,15.0,10.0,10.0,10.0,4.0,12.0,23.0
526557461,70.5,150.0,Graded,2022-10-06 12:19:43 -0500,00:00:00,2.0,1.0,10.0,15.0,0.0,5.0,10.0,4.0,14.5,12.0
599867770,108.5,150.0,Graded,2022-10-06 12:20:35 -0500,00:00:00,1.0,1.0,18.0,15.0,20.0,10.0,5.0,8.0,11.5,21.0
918749665,73.0,150.0,Graded,2022-10-06 12:20:44 -0500,00:00:00,2.0,1.0,12.0,15.0,20.0,10.0,8.0,8.0,0.0,0.0
959883566,140.5,150.0,Graded,2022-10-06 12:22:38 -0500,00:00:00,3.0,1.0,18.0,15.0,20.0,10.0,10.0,4.0,33.5,30.0
