,randNumCol,Total Score,HW
0,801925577,44.0,6
1,262507520,50.0,6
2,853470508,50.0,6
3,468287725,29.0,6
4,966245481,52.0,6
5,688844688,48.0,6
6,602558521,50.0,6
7,728776101,48.0,6
8,513252691,50.0,6
9,798694774,49.0,6
10,880377892,52.0,6
11,140393680,46.0,6
12,406982131,39.0,6
13,631918976,50.0,6
14,555782827,50.0,6
15,556717963,50.0,6
16,213555276,35.0,6
17,357999413,49.0,6
18,429099317,50.0,6
25,759999244,50.0,6
32,963037118,50.0,6
39,649911435,50.0,6
46,981776346,50.0,6
53,490690273,50.0,6
60,208303123,50.0,6
67,215542326,50.0,6
68,683714891,42.5,6
70,450938085,52.0,6
71,791013869,46.0,6
72,431330025,50.0,6
73,538294395,45.0,6
74,144202762,38.0,6
76,519550803,50.0,6
78,482212493,50.0,6
79,647038181,50.0,6
80,846403629,49.0,6
81,586062294,47.5,6
82,884195403,51.0,6
83,996805395,50.0,6
85,981630158,42.5,6
86,425298232,43.0,6
87,868686594,48.0,6
88,891283532,44.0,6
89,757443096,50.0,6
90,915625252,42.0,6
92,853643793,48.0,6
93,367453952,42.0,6
94,581792455,48.0,6
95,102509560,41.0,6
97,860075746,40.0,6
98,351876097,48.0,6
99,196938750,46.0,6
100,208887130,49.0,6
103,722247081,49.0,6
104,817205605,41.0,6
105,611518158,38.0,6
106,177697048,41.0,6
108,616967158,48.0,6
109,315653647,29.0,6
111,196389138,49.0,6
112,677646110,48.0,6
113,739727903,35.0,6
114,239830252,50.0,6
115,236845553,41.0,6
116,819905544,28.0,6
117,718982500,52.0,6
118,393009742,50.5,6
119,695607399,43.0,6
120,426006334,35.0,6
121,815373712,46.0,6
122,757899821,42.0,6
123,321265210,46.0,6
124,997288135,42.0,6
125,362394432,46.0,6
126,883116166,45.0,6
127,293581171,49.0,6
128,381118522,41.0,6
129,317104199,44.0,6
130,466291288,44.5,6
131,844164199,50.0,6
132,578891403,35.0,6
133,558375823,43.0,6
134,287568073,52.0,6
135,709735325,44.0,6
136,287712537,50.0,6
137,496648192,50.0,6
138,139056282,51.0,6
139,411819068,48.0,6
140,968248176,48.0,6
141,744337479,44.0,6
142,105324844,38.0,6
144,484405746,45.0,6
145,943661848,50.0,6
147,359759230,50.0,6
148,442821320,50.0,6
149,963746914,46.0,6
150,410273349,52.0,6
151,928986287,47.0,6
153,717283131,48.0,6
154,889941393,46.0,6
155,788596770,46.0,6
156,941280573,52.0,6
157,250884994,41.0,6
158,719711907,44.0,6
159,118397071,41.0,6
160,888606400,50.0,6
161,193781663,33.0,6
162,236595923,46.0,6
163,464591232,50.0,6
164,937801142,50.0,6
165,718131231,49.0,6
167,138190992,49.0,6
168,188148399,42.0,6
169,258815820,46.0,6
170,177969362,50.0,6
171,200495348,50.0,6
172,228387210,50.0,6
174,251182625,27.0,6
175,897003650,50.0,6
177,980531633,47.0,6
178,857674188,42.0,6
179,636016277,42.0,6
181,754161398,41.0,6
182,488411601,38.0,6
183,722597200,45.0,6
186,549089373,50.0,6
187,706103987,47.0,6
188,974175861,44.0,6
189,341083491,44.0,6
190,564894421,34.0,6
193,881416106,42.0,6
195,781669299,42.0,6
197,119077366,50.0,6
198,834807552,46.0,6
199,307090791,50.0,6
200,540669649,46.0,6
201,994769592,48.0,6
202,936606317,46.0,6
203,535181971,45.0,6
204,265576960,45.0,6
205,706684758,50.0,6
206,262076393,48.0,6
207,529096059,35.0,6
208,831110918,46.5,6
209,499452888,51.0,6
210,305089579,49.0,6
211,800103092,46.0,6
213,226714695,48.0,6
214,382807776,46.0,6
215,538095794,49.0,6
217,391282183,44.0,6
218,761663525,42.0,6
219,253357219,49.5,6
220,158082447,42.0,6
221,654272102,47.0,6
222,242433745,48.0,6
223,748668207,51.0,6
226,803783009,46.0,6
227,422591545,43.0,6
228,454761787,46.0,6
229,979704902,43.0,6
230,526557461,46.0,6
231,599867770,44.0,6
232,918749665,45.0,6
233,959883566,50.0,6
234,597567139,48.0,6
235,103516833,37.0,6
236,992611871,41.0,6
237,583945776,49.0,6
238,468351365,50.0,6
240,829757696,50.0,6
241,828110959,51.0,6
242,818120983,48.0,6
243,122086878,43.0,6
244,992179622,38.0,6
245,580872504,46.0,6
246,340015460,41.0,6
247,315771604,50.0,6
248,287997147,45.0,6
250,934612942,50.0,6
251,237280992,50.0,6
252,587634781,49.0,6
253,734458226,48.0,6
254,286960191,42.0,6
255,807600492,49.0,6
256,915813150,49.0,6
258,944383529,43.5,6
259,114562364,50.0,6
260,995177563,50.0,6
261,827900608,36.0,6
262,328478800,49.0,6
263,606523192,46.0,6
264,909619050,34.0,6
265,148568617,50.0,6
266,654614175,50.0,6
267,829664514,48.0,6
268,803321204,50.0,6
269,287532404,51.0,6
270,604876819,49.0,6
271,251388393,50.0,6
272,549851463,42.0,6
274,802011554,46.0,6
275,635747278,44.0,6
276,827611327,47.0,6
277,981101538,48.0,6
278,987928730,44.0,6
279,200028206,52.0,6
280,367317839,52.0,6
282,155851248,42.0,6
283,320001219,42.0,6
284,806095004,35.0,6
285,794981163,47.0,6
286,912932855,50.0,6
287,500762519,47.0,6
288,973763888,44.0,6
289,170991668,52.0,6
290,259154711,50.0,6
291,853027552,50.0,6
292,612832753,47.0,6
293,113289517,46.0,6
294,823906653,52.0,6
295,543773582,51.0,6
296,624396569,46.0,6
297,498220528,45.0,6
298,507273770,43.0,6
299,582804068,48.0,6
300,241288793,48.0,6
301,977027424,48.0,6
302,799911481,29.0,6
303,820492858,38.5,6
304,567174326,47.0,6
305,827903731,52.0,6
306,766195530,46.0,6
307,760982848,38.0,6
308,175804971,46.0,6
309,450838843,48.0,6
310,228504431,44.0,6
311,172025158,50.0,6
312,617072763,40.0,6
313,205298298,50.0,6
314,271322090,50.0,6
315,874987678,50.0,6
316,344244488,50.0,6
317,596322861,49.0,6
318,844072779,46.0,6
319,789354791,41.0,6
320,712401694,49.0,6
321,469327354,47.0,6
